rp,BGS-1,BGS-2,BGS-3,LRG-1,LRG-2
0.10071403294353337,0.026448993644231367,0.04712951061275539,0.07593375516232737,0.11526414393199125,0.20467920727390698
0.15962098519751033,0.0196318740875685,0.03399045451949223,0.05227467355011295,0.07483304866320117,0.13818537701288314
0.25298221281347033,0.014944828593499215,0.023387580629340432,0.0357309853892156,0.049622803170018326,0.09400932359804903
0.4009497869018178,0.011053847783671022,0.017051133167534704,0.024991230799196407,0.03134224812674824,0.059435180150102296
0.6354625877794252,0.008047419000139833,0.012210423067825493,0.016819897732951006,0.020397195411787195,0.042315160978287025
1.0071403294353338,0.005587407212968687,0.008827032894088482,0.011982908718953578,0.013638894624162567,0.03214896757958141
1.5962098519751042,0.0037259559720996815,0.006591532369182751,0.009462944549969876,0.01007873340413945,0.02698872934543184
2.529822128134704,0.0026067394121187526,0.005103719485368696,0.007202493962826129,0.007684677436876397,0.021917909220879883
4.009497869018179,0.0018588254133580229,0.0037052732428399793,0.0053179559355318595,0.005629080527405295,0.016753866620276225
6.354625877794251,0.0015126985025890605,0.0022829465155438378,0.0037908356975313584,0.0038113899921876637,0.011837996682503515
10.071403294353338,0.0012409243002109438,0.0009918025233182082,0.002361918717822764,0.002055585559668449,0.007698022069971611
15.962098519751045,0.0006870028217014212,3.5178727259665976e-05,0.0016710803218034087,0.0008933418022203377,0.004729409082525615
25.298221281347043,-0.0009210303236906192,-0.0003666240413038313,0.001258469973085985,7.700851124425867e-05,0.002480173046809586
40.0949786901818,-0.002678077081058605,-0.0004962276641955476,0.0008263490519899719,-0.00032225064155566585,0.0008542689879096343
63.54625877794253,-0.004345729789806185,-0.0008052890834361337,0.0010625430582074102,-0.0001313551425928816,-0.0003533176238593727
