rp,BGS-1,BGS-2,BGS-3,LRG-1,LRG-2
0.10071403294353337,0.049621682661703526,0.06465750169149742,0.10355844723501395,0.18782698936335795,0.24703076724067263
0.15962098519751033,0.037596000749481995,0.04527266360736282,0.06884366337784864,0.11760424023557126,0.1655068970338358
0.25298221281347033,0.02893838079589428,0.03226103814493553,0.04657308162856455,0.07758579135526378,0.10749626059498674
0.4009497869018178,0.021466699448047244,0.023251184843895656,0.03165090330501763,0.0498211807396296,0.06792228005945744
0.6354625877794252,0.015763398099221337,0.016576140511485926,0.02128042869778146,0.03212579289620909,0.04701486821972889
1.0071403294353338,0.011168273113665528,0.012100316081895546,0.015504286450620075,0.022168226358554977,0.036120922637787434
1.5962098519751042,0.007839610257257768,0.009232389064641966,0.01198437855225909,0.01687919702298535,0.029945797338693847
2.529822128134704,0.005607987027110628,0.007039545876184272,0.00908872571315733,0.012832999421269697,0.02427108014428292
4.009497869018179,0.004067141099493021,0.005127785785034256,0.006776354380788829,0.009388821026606209,0.018414141881157198
6.354625877794251,0.003026934512496693,0.0032376256492592237,0.004776918963756316,0.0063728305630872395,0.012984373472092914
10.071403294353338,0.0022395196657669647,0.001652116745455956,0.0029630356313150585,0.0037576621888231188,0.00846339702099641
15.962098519751045,0.0012789672060318225,0.0003862574297190946,0.002004993348708961,0.001957011141014764,0.005117808903150278
25.298221281347043,-0.0005980411477457537,-0.00023647340093602143,0.0014208673590452303,0.0005817614488294875,0.0026509313812690394
40.0949786901818,-0.0025623664265186363,-0.00047843683681680904,0.0008941015620202997,-0.00014868765321518485,0.0008740387143433281
63.54625877794253,-0.004347804895067808,-0.0008391759758316075,0.0011018242992884009,-0.00010356195703953297,-0.00037152437796073023
