rp_min,delta chi_sq
0.08,0.416332524665121
0.12679145539688905,0.3987827542794145
0.2009509145207664,0.34499491820743455
0.3184857364427978,0.23917846911857787
0.5047658755841546,0.1329052255691666
0.7999999999999999,0.06385666060184589
1.2679145539688912,0.029726622104951615
2.0095091452076645,0.01417412828921029
3.1848573644279785,0.006703478230692286
5.047658755841546,0.0028542846638762473
7.999999999999999,0.0010296139507592454
12.679145539688912,0.00031446970177915194
20.095091452076655,9.516962009828748e-05
31.84857364427978,4.6048007165536756e-05
