rp_min,delta chi_sq
0.08,0.6852730545521345
0.12679145539688905,0.6522079039757767
0.2009509145207664,0.5580359535414154
0.3184857364427978,0.38070193050034834
0.5047658755841546,0.20290396713036846
0.7999999999999999,0.09585547528970402
1.2679145539688912,0.04390259247318698
2.0095091452076645,0.019729279164052413
3.1848573644279785,0.008766068789785425
5.047658755841546,0.0035431016890047867
7.999999999999999,0.0011347368507804516
12.679145539688912,0.00030880809498952405
20.095091452076655,9.521735773071714e-05
31.84857364427978,5.6918725252466236e-05
