rp_min,delta chi_sq
0.08,8.080225416239136
0.12679145539688905,8.013520474695122
0.2009509145207664,7.830315562729123
0.3184857364427978,7.323549520808748
0.5047658755841546,6.333794211372187
0.7999999999999999,4.9441158261892095
1.2679145539688912,3.4506690363691765
2.0095091452076645,2.343245745680833
3.1848573644279785,1.647649605106117
5.047658755841546,1.1742647357770042
7.999999999999999,0.820948003224949
12.679145539688912,0.502984091698689
20.095091452076655,0.27877968652040114
31.84857364427978,0.12078702664431802
