rp_min,delta chi_sq
0.08,2.6265180395639893
0.12679145539688905,2.626492899963389
0.2009509145207664,2.6258824428147025
0.3184857364427978,2.6201509920003714
0.5047658755841546,2.5967494920747836
0.7999999999999999,2.517612474079293
1.2679145539688912,2.3203725123696897
2.0095091452076645,1.968498302565716
3.1848573644279785,1.5191810521882263
5.047658755841546,1.0643695337754266
7.999999999999999,0.668487492390637
12.679145539688912,0.3845259350104501
20.095091452076655,0.2123512780012919
31.84857364427978,0.11081662519984958
