rp_min,delta chi_sq
0.08,0.4646454654603123
0.12679145539688905,0.4147598439357067
0.2009509145207664,0.30281088255767424
0.3184857364427978,0.1704398593839947
0.5047658755841546,0.08797946917068518
0.7999999999999999,0.04228808989889527
1.2679145539688912,0.02126475525452962
2.0095091452076645,0.01196984320890042
3.1848573644279785,0.007300173556306474
5.047658755841546,0.004746370711196888
7.999999999999999,0.0025940237265817973
12.679145539688912,0.0013801677870147193
20.095091452076655,0.0006142191045275702
31.84857364427978,0.00026671229223638717
