rp_min,delta chi_sq
0.08,2.1943350578589946
0.12679145539688905,2.194272048184042
0.2009509145207664,2.1933584653270506
0.3184857364427978,2.187704488966686
0.5047658755841546,2.1590576993582506
0.7999999999999999,2.0658486645778273
1.2679145539688912,1.8489687932502263
2.0095091452076645,1.487399255886987
3.1848573644279785,1.050480433842188
5.047658755841546,0.640531524507941
7.999999999999999,0.3369039976827898
12.679145539688912,0.1675905229002164
20.095091452076655,0.07711372651693076
31.84857364427978,0.03566666325873895
