rp_min,delta chi_sq
0.08,1.3910941104636416
0.12679145539688905,1.391077898518242
0.2009509145207664,1.3907527247050646
0.3184857364427978,1.3882801563482439
0.5047658755841546,1.3755320070560773
0.7999999999999999,1.335998761067073
1.2679145539688912,1.2449217605089937
2.0095091452076645,1.077542829209936
3.1848573644279785,0.8594095502560204
5.047658755841546,0.6291509739699085
7.999999999999999,0.4135238036015138
12.679145539688912,0.24253152401280662
20.095091452076655,0.12527763037664522
31.84857364427978,0.06530607351247061
