rp_min,delta chi_sq
0.08,0.752048954847384
0.12679145539688905,0.6905618376829527
0.2009509145207664,0.541305503221691
0.3184857364427978,0.31646701071119837
0.5047658755841546,0.14311573536600497
0.7999999999999999,0.0603531471178804
1.2679145539688912,0.02607693747210875
2.0095091452076645,0.01285990472127094
3.1848573644279785,0.007016102230174377
5.047658755841546,0.0038800805701920574
7.999999999999999,0.001972826038182885
12.679145539688912,0.0008934593928834861
20.095091452076655,0.0003742797333970304
31.84857364427978,0.0001527640719297208
