rp_min,delta chi_sq
0.08,0.29027344187889814
0.12679145539688905,0.2603182843876999
0.2009509145207664,0.1936146907753746
0.3184857364427978,0.11604223939318191
0.5047658755841546,0.06171414049746739
0.7999999999999999,0.030769232590276488
1.2679145539688912,0.016920833513399992
2.0095091452076645,0.009861627604504375
3.1848573644279785,0.006281134794359123
5.047658755841546,0.004133162010441724
7.999999999999999,0.002393702693151623
12.679145539688912,0.001417865167461454
20.095091452076655,0.0006895280480767458
31.84857364427978,0.0002748722816498228
