rp_min,delta chi_sq
0.08,0.8329978203719117
0.12679145539688905,0.8116195381734693
0.2009509145207664,0.7479053290017754
0.3184857364427978,0.5991110946501186
0.5047658755841546,0.44314933574366616
0.7999999999999999,0.3019325512634018
1.2679145539688912,0.19036089246208585
2.0095091452076645,0.102009159128778
3.1848573644279785,0.057923565963865005
5.047658755841546,0.0363519948555587
7.999999999999999,0.024657080397482076
12.679145539688912,0.011318952487288574
20.095091452076655,0.005485297627644376
31.84857364427978,0.003049670004704504
