rp_min,delta chi_sq
0.08,52.53552971209794
0.12679145539688905,52.10771939695199
0.2009509145207664,50.44847631544196
0.3184857364427978,46.36358415198438
0.5047658755841546,39.376585455870824
0.7999999999999999,30.48422431534817
1.2679145539688912,21.195784229436743
2.0095091452076645,13.24551583073792
3.1848573644279785,7.731294642154658
5.047658755841546,4.425121684969564
7.999999999999999,2.2015254274355134
12.679145539688912,1.0516623032809849
20.095091452076655,0.5028980086977488
31.84857364427978,0.2627111116981992
