rp_min,delta chi_sq
0.08,0.046964027081155595
0.12679145539688905,0.043499460245797705
0.2009509145207664,0.036098923823704346
0.3184857364427978,0.02285111443151486
0.5047658755841546,0.012251675518496406
0.7999999999999999,0.0053229390292556895
1.2679145539688912,0.002249619774561532
2.0095091452076645,0.0010065881098459105
3.1848573644279785,0.00047426251299826803
5.047658755841546,0.000204134450011607
7.999999999999999,8.475991367318628e-05
12.679145539688912,4.2525374136643084e-05
20.095091452076655,2.1067343414123425e-05
31.84857364427978,1.2296601030722437e-05
