rp_min,rp_max,rp,delta sigma_raw,delta sigma,b,delta sigma_ran,f_bias,delta sigma_err
0.05,0.06294627058970836,0.05610092271509817,-0.6560171741890022,2.96551021231624,1.52724235049531,-3.3932284359742844,1.2401085142186983,15.702541584809955
0.06294627058970836,0.07924465962305569,0.07062687723113772,-7.480765427345849,-16.26656077789156,1.4845138593938514,2.0117463279907573,1.2401085142186983,11.356254813470514
0.07924465962305569,0.09976311574844399,0.08891397050194615,5.470260260662818,13.734898851598421,1.4436063146554243,-3.1786598381495197,1.2401085142186983,8.599389944238784
0.09976311574844399,0.125594321575479,0.11193605692841699,3.808040522660368,5.6758160481028925,1.40180387144569,0.761255469401162,1.2401085142186983,6.557424594570447
0.125594321575479,0.158113883008419,0.1409191465632227,-1.5760570830403735,-4.260226858410802,1.3732767720304746,1.2710036038319035,1.2401085142186983,5.4639104315399
0.158113883008419,0.19905358527674866,0.17740669461678776,-2.51404639326131,-3.054797265105306,1.3220806133311187,-0.8604413856840548,1.2401085142186983,4.3533791162769395
0.19905358527674866,0.2505936168136362,0.2233417960754816,4.247205752505995,5.685800570941196,1.2856610659678998,0.8755452673023182,1.2401085142186983,3.574990934919889
0.2505936168136362,0.3154786722400967,0.2811706625951746,4.772866646455194,6.63996701197922,1.2477317351545327,0.6009136424642376,1.2401085142186983,2.870525831435825
0.3154786722400967,0.3971641173621408,0.353972892192069,4.219874189005636,5.954118659787874,1.2072750924102051,0.2932605726805107,1.2401085142186983,1.9532751888542308
0.3971641173621408,0.5,0.4456254690668728,5.779511409231062,8.167065441193222,1.1773706884488255,0.21886055915687627,1.2401085142186983,1.831661023868502
0.5,0.6294627058970838,0.5610092271509818,4.677664256227132,6.307016543378093,1.1463051621201827,0.2761720905085043,1.2401085142186983,1.3664523014262353
0.6294627058970838,0.7924465962305571,0.7062687723113774,5.641790028927538,7.778836004310349,1.1172972805989465,0.030850748539405462,1.2401085142186983,1.0185180522467432
0.7924465962305571,0.9976311574844399,0.8891397050194617,4.589171565097026,6.311737017495024,1.0941584429817324,-0.06838427967991498,1.2401085142186983,0.9433135938585253
0.9976311574844399,1.2559432157547905,1.11936056928417,4.4846074433167935,6.131421562131723,1.0737556935117682,-0.1288893531135034,1.2401085142186983,0.6831775334462392
1.2559432157547905,1.5811388300841898,1.4091914656322273,2.7451505462194996,3.801434512792396,1.0595735567676918,-0.15671580800238544,1.2401085142186983,0.6216772378979647
1.5811388300841898,1.9905358527674868,1.7740669461678775,2.460223632579799,3.1417885130121626,1.048460412027468,0.04596837821217707,1.2401085142186983,0.4654282857453816
1.9905358527674868,2.5059361681363628,2.2334179607548164,1.9320182300053845,2.5952816887057644,1.0401649865559954,-0.08316824478656017,1.2401085142186983,0.4265295017029087
2.5059361681363628,3.1547867224009667,2.8117066259517465,1.8935043901787392,2.4294755718207544,1.0343423093478592,-0.0005513474748672772,1.2401085142186983,0.3292809516647105
3.1547867224009667,3.971641173621409,3.53972892192069,1.2713846746435375,1.6331648241686334,1.029097919734081,-0.008573834227722846,1.2401085142186983,0.24728022908264177
3.971641173621409,5.0,4.456254690668728,1.0744818585386127,1.3470020292134963,1.024286439773431,0.014380293124729666,1.2401085142186983,0.2165058821393713
5.0,6.294627058970838,5.610092271509818,0.5838537571610213,0.7513696058658756,1.0202311238801804,-0.010224433346168146,1.2401085142186983,0.20649904129718677
6.294627058970838,7.924465962305572,7.062687723113775,0.40218639390348265,0.47321088326470906,1.0165219109354386,0.027242994981458303,1.2401085142186983,0.1883883067316597
7.924465962305572,9.976311574844404,8.89139705019462,0.49012375700143335,0.6249481488627615,1.0134646601338708,-0.007223234734782745,1.2401085142186983,0.1578800545829415
9.976311574844404,12.559432157547912,11.193605692841706,0.5495167944117579,0.6871545224261318,1.010951992370045,0.001426716064289969,1.2401085142186983,0.12257960985523542
12.559432157547912,15.811388300841898,14.091914656322276,0.33731336955747293,0.42399381814838444,1.0082699633447074,-0.0017976395263000346,1.2401085142186983,0.11691938240104997
15.811388300841898,19.905358527674867,17.740669461678774,0.24580859636534907,0.3236575280791106,1.0059252241018282,-0.013726228431609474,1.2401085142186983,0.12009694076333474
19.905358527674867,25.059361681363626,22.334179607548162,0.3258541972343483,0.4482747804651423,1.0044116065073927,-0.03418854832861151,1.2401085142186983,0.09687418424683414
25.059361681363626,31.547867224009686,28.117066259517472,0.25515492752456165,0.4238582901129981,1.0026783636323393,-0.08595296584379296,1.2401085142186983,0.07903599098620355
31.547867224009686,39.71641173621411,35.397289219206925,0.11472089596339308,0.2670455002894157,1.0013439404611304,-0.10046535565289416,1.2401085142186983,0.07531227453262475
39.71641173621411,50.0,44.562546906687295,0.06572672030430916,0.20678324134677792,1.0005766307128374,-0.10098146596099714,1.2401085142186983,0.06787308944147995
