rp_min,rp_max,rp,delta sigma_raw,delta sigma,b,delta sigma_ran,f_bias,delta sigma_err
0.05,0.06294627058970836,0.05610092271509817,-8.484262573845534,-12.958814602991438,1.1538901026188257,1.8328983358027033,1.1149472662761977,5.424691607769679
0.06294627058970836,0.07924465962305569,0.07062687723113772,0.21088473604124924,-0.3567248645585561,1.1483353205511055,0.5621141367860306,1.1149472662761977,4.883227068176993
0.07924465962305569,0.09976311574844399,0.08891397050194615,4.155070910159933,5.639278024360678,1.125260264262456,-0.3823514738300084,1.1149472662761977,3.6126628539790335
0.09976311574844399,0.125594321575479,0.11193605692841699,0.973769634684634,1.1431711519381924,1.109403750924239,0.054989586090497956,1.1149472662761977,2.310355480103546
0.125594321575479,0.158113883008419,0.1409191465632227,2.293096318726836,3.598994660946533,1.1029684439831922,-0.698737688964095,1.1149472662761977,2.044313389533632
0.158113883008419,0.19905358527674866,0.17740669461678776,1.8110265753304415,2.089909810141465,1.0939129245341794,0.1066581516676318,1.1149472662761977,1.5798082332441314
0.19905358527674866,0.2505936168136362,0.2233417960754816,1.1329400713854294,1.7202749387886838,1.0818173468764325,-0.317286228682374,1.1149472662761977,1.199183009282111
0.2505936168136362,0.3154786722400967,0.2811706625951746,3.7007797798662088,4.880091181898855,1.069898791499527,-0.4175105857780493,1.1149472662761977,1.1083093318500312
0.3154786722400967,0.3971641173621408,0.353972892192069,2.2462576359349806,2.5550290971647405,1.0616931701598487,0.09322209226717815,1.1149472662761977,0.9283383811805684
0.3971641173621408,0.5,0.4456254690668728,3.436005985369154,4.021018882596568,1.0510041817611322,0.004791130072818615,1.1149472662761977,0.6544600305676459
0.5,0.6294627058970838,0.5610092271509818,3.5141217926678854,4.2680535166466065,1.0432884454218472,-0.16178907155000702,1.1149472662761977,0.5052779541628921
0.6294627058970838,0.7924465962305571,0.7062687723113774,3.888647901161332,4.304319305164934,1.0343605272198857,0.16170525034946,1.1149472662761977,0.49313994475399453
0.7924465962305571,0.9976311574844399,0.8891397050194617,3.6853371140495303,4.179389078487998,1.0276565996126796,0.038752709930179326,1.1149472662761977,0.35579016017639653
0.9976311574844399,1.2559432157547905,1.11936056928417,2.886071515277383,3.1725345841907333,1.0223515757976778,0.10512268909778885,1.1149472662761977,0.30613281823659344
1.2559432157547905,1.5811388300841898,1.4091914656322273,2.4856926356623164,2.860155910149727,1.0176263764687183,-0.03577718603516463,1.1149472662761977,0.24611196099885416
1.5811388300841898,1.9905358527674868,1.7740669461678775,1.4739691274261513,1.6373698336645377,1.0144836591046045,0.026755014033475865,1.1149472662761977,0.18561688458294776
1.9905358527674868,2.5059361681363628,2.2334179607548164,1.4902665822812242,1.5637800984517884,1.012268025773423,0.10598951547403329,1.1149472662761977,0.1815159672442219
2.5059361681363628,3.1547867224009667,2.8117066259517465,1.3090430604767291,1.3987290400014867,1.0105136459812885,0.06828103653515515,1.1149472662761977,0.14458522382728456
3.1547867224009667,3.971641173621409,3.53972892192069,1.1326211107297155,1.3033980876904674,1.0085627445518621,-0.026702727507938607,1.1149472662761977,0.13453144194441236
3.971641173621409,5.0,4.456254690668728,0.9099641550081021,0.9867378478348527,1.0069944503051724,0.031320318078267635,1.1149472662761977,0.12384270658499957
5.0,6.294627058970838,5.610092271509818,0.7832603986014877,0.8664182398245361,1.0047577042377367,0.009893450092310926,1.1149472662761977,0.10339161118800941
6.294627058970838,7.924465962305572,7.062687723113775,0.637887071230184,0.7046776440584677,1.0029515312301553,0.007742036154533209,1.1149472662761977,0.08760220759931439
7.924465962305572,9.976311574844404,8.89139705019462,0.5665698777277532,0.6107895110709833,1.0014854289205524,0.01959228452805353,1.1149472662761977,0.08508581322713048
9.976311574844404,12.559432157547912,11.193605692841706,0.5594013639015618,0.6290724148970862,1.0003639106079818,-0.004612255192399105,1.1149472662761977,0.0763871853182416
12.559432157547912,15.811388300841898,14.091914656322276,0.45678143314647696,0.5126337523245804,0.9993425754159974,-0.003301824396388639,1.1149472662761977,0.07251315332722076
15.811388300841898,19.905358527674867,17.740669461678774,0.366107286692558,0.43418216216565014,0.9984348306096478,-0.02388519305027272,1.1149472662761977,0.07607798535534409
19.905358527674867,25.059361681363626,22.334179607548162,0.3004905310602591,0.393679873210778,0.997931175277829,-0.053223950111883585,1.1149472662761977,0.06708930686520342
25.059361681363626,31.547867224009686,28.117066259517472,0.21959802775673987,0.31717861130945074,0.9975697059480393,-0.06541423663751592,1.1149472662761977,0.0672731167231363
31.547867224009686,39.71641173621411,35.397289219206925,0.22454690229420626,0.32431581444859414,0.9957611373801751,-0.06728487959065867,1.1149472662761977,0.06058002749449073
39.71641173621411,50.0,44.562546906687295,0.11647091091758975,0.2078042878813164,0.993470447363077,-0.07066996549000028,1.1149472662761977,0.05933121294545149
