rp_min,rp_max,rp,ds_raw,ds,et_raw,et,z_eff,b,f_bias,ds_r,et_r,ds_err
0.05,0.06294627058970836,0.05610092271509817,2.116121706720069,2.056050188962432,0.000511832458708754,0.0004984404862361939,0.20484246312500884,0.9825783858555547,1.0,0.023205261900474932,4.475024870333289e-06,0.09019330379597633
0.06294627058970836,0.07924465962305569,0.07062687723113772,2.7259923269058897,2.685850737151081,0.0006501340633591891,0.0006402295194857567,0.2048852279649871,0.9845016333522257,1.0,-0.002106838806597863,-1.7147221071562146e-07,0.07555505990922996
0.07924465962305569,0.09976311574844399,0.08891397050194615,3.337869289634924,3.270023644692418,0.0007816235098853289,0.0007669620704474476,0.20488457163216173,0.9846966863253377,1.0,0.016765184198200743,2.7000096906155877e-06,0.06722063583336768
0.09976311574844399,0.125594321575479,0.11193605692841699,3.8449052206078296,3.788190693510981,0.0008801289289753635,0.0008663816677146109,0.20486209099993669,0.9860706121629853,1.0,0.0031573510824399794,1.4876040624783816e-06,0.060237842895044226
0.125594321575479,0.158113883008419,0.1409191465632227,4.088508832144259,4.049499585547735,0.0009241175342899546,0.0009151210996116071,0.20487916311683665,0.9877902894899349,1.0,-0.010910262661801276,-2.2867728926079873e-06,0.05689499339293321
0.158113883008419,0.19905358527674866,0.17740669461678776,4.322540793030148,4.278035420973481,0.0009678441623068164,0.0009584284586324613,0.20488263227256642,0.9894071268064184,1.0,-0.001282754437984963,-8.36546808109283e-07,0.05693983834127521
0.19905358527674866,0.2505936168136362,0.2233417960754816,4.337660827066853,4.292652309444622,0.0009662654751147198,0.000956414122777867,0.20487854069267677,0.9883154154940809,1.0,-0.00567524686964781,-1.4390582622773062e-06,0.05665740069029132
0.2505936168136362,0.3154786722400967,0.2811706625951746,4.264793925583584,4.220358890793749,0.000944378589116238,0.0009345245794619732,0.20488274395288944,0.9906725549881351,1.0,0.004655403962019084,1.0453702939003927e-06,0.0538939431087207
0.3154786722400967,0.3971641173621408,0.353972892192069,4.087871492047592,4.041516425208492,0.0009031773857982115,0.0008927130992768998,0.20488154825079977,0.9911650509261555,1.0,0.010238930386438522,2.4847603131365216e-06,0.053474503729240334
0.3971641173621408,0.5,0.4456254690668728,3.8257594635146295,3.790384477086093,0.0008444501260947426,0.0008365873749298599,0.20488413882338433,0.9916301342987898,1.0,0.003353893513785026,7.948170180996369e-07,0.058060884331572984
0.5,0.6294627058970838,0.5610092271509818,3.5606973328025084,3.532453701788188,0.0007832763351948069,0.0007769909441839265,0.20488144664556027,0.9920561976146348,1.0,-4.184495155929969e-05,6.319859095973957e-08,0.06253308908178364
0.6294627058970838,0.7924465962305571,0.7062687723113774,3.256684476484594,3.235343172054107,0.000715840654235999,0.0007112718619915619,0.20488292358422944,0.9929837597442949,1.0,-0.001508376293553726,-4.5371777048383483e-07,0.06368142878292046
0.7924465962305571,0.9976311574844399,0.8891397050194617,2.891581820827705,2.8691925717292492,0.0006345834375561844,0.0006298659671054004,0.20488575292765066,0.9932200532964998,1.0,0.0027844784644336868,4.150285652290733e-07,0.06590889208351364
0.9976311574844399,1.2559432157547905,1.11936056928417,2.5392596570768067,2.51915270922878,0.0005578216046586285,0.0005534036692482316,0.20488620985594383,0.9933980900277796,1.0,0.003342984195914218,7.352473958810942e-07,0.07145543192133978
1.2559432157547905,1.5811388300841898,1.4091914656322273,2.1936026850839756,2.184208915011181,0.0004816838924125823,0.0004796307082491701,0.2048901029323347,0.9939792996941172,1.0,-0.0038132542842754065,-8.468901949750177e-07,0.0705701095540653
