rp_min,rp_max,rp,ds_raw,ds,et_raw,et,z_eff,b,f_bias,ds_r,et_r,ds_err
0.07924465962305569,0.09976311574844399,0.08891397050194615,1.2120541098546331,1.2264626686593212,0.00042101981451346586,0.00042487640149926464,0.37485117391092676,0.9683438078831915,1.0,-0.05277757656221361,-1.7184471119020118e-05,0.1179643361092211
0.09976311574844399,0.125594321575479,0.11193605692841699,1.8388092813549786,1.7775994516994196,0.0006525865766406743,0.0006322833671740031,0.3748300074699549,0.9777939686580321,1.0,0.02037717312188881,5.811851492440863e-06,0.0962471763709072
0.125594321575479,0.158113883008419,0.1409191465632227,2.3660895190825686,2.3193285817702294,0.0008530922163892382,0.0008343165837563085,0.3748231372790661,0.9792518186372344,1.0,-0.0023311171501246837,1.0755206081221465e-06,0.08119297113641438
0.158113883008419,0.19905358527674866,0.17740669461678776,3.090749715161478,3.02809947093812,0.001113446959979654,0.001092453679463869,0.3748555614665873,0.9838694890429808,1.0,0.012794872077541401,3.032812127773519e-06,0.06571863406060209
0.19905358527674866,0.2505936168136362,0.2233417960754816,3.9446532159098138,3.892087543541267,0.0013982527667482493,0.001380319872233081,0.3748389548041191,0.9844557850225808,1.0,-0.008750865230923548,-3.801847083937683e-06,0.06588125472006398
0.2505936168136362,0.3154786722400967,0.2811706625951746,4.231706409123789,4.191492995285153,0.0015067753786649775,0.0014919113350555602,0.3748547073749672,0.9835215274392772,1.0,-0.02951864410914518,-9.965313123086127e-06,0.057545968294234646
0.3154786722400967,0.3971641173621408,0.353972892192069,4.41968053782665,4.366033868677365,0.0015702762524353554,0.001550877773084024,0.37485024998463723,0.9871167654964802,1.0,-0.0032931116501780555,-8.317578441016864e-07,0.05330703296675402
0.3971641173621408,0.5,0.4456254690668728,4.483452118069181,4.438104319197256,0.0015957876562767213,0.0015800372486472058,0.37485032658099166,0.9887292128350442,1.0,-0.005184235715103484,-2.235375404843099e-06,0.05092376504378854
0.5,0.6294627058970838,0.5610092271509818,4.359112108930737,4.323209033841382,0.001553123306781081,0.0015400787020877832,0.3748501752157918,0.9901262549042319,1.0,-0.007137686718104203,-2.290538940155e-06,0.053859686414948635
0.6294627058970838,0.7924465962305571,0.7062687723113774,4.095556977033648,4.071115390255462,0.0014606692862147183,0.0014515686699853791,0.37485601094510024,0.9920887489755053,1.0,-0.007959392552248064,-2.455105157675013e-06,0.050379322478345756
0.7924465962305571,0.9976311574844399,0.8891397050194617,3.7263939815156824,3.7026151609808355,0.00132863031139518,0.001319763646668565,0.37485094971591454,0.9928255689606346,1.0,-0.0029559361110437837,-6.65501819300532e-07,0.05062352695252023
0.9976311574844399,1.2559432157547905,1.11936056928417,3.2516308218366645,3.2275961038913463,0.0011588862959947784,0.001150273535237971,0.37484744311770163,0.9935706584840394,1.0,0.0031288729079065503,1.1618849816902428e-06,0.04944614412286207
1.2559432157547905,1.5811388300841898,1.4091914656322273,2.7748733418682203,2.753034311994504,0.0009895965529046972,0.0009816343398293954,0.37485047553626416,0.9943637705027288,1.0,0.006199206893087007,2.384619793422652e-06,0.047612510024925406
1.5811388300841898,1.9905358527674868,1.7740669461678775,2.2727763360524555,2.260067091337072,0.0008105345383526231,0.0008060052507935648,0.37484730799063953,0.99504095242275,1.0,0.0014384387324516714,5.098082203633201e-07,0.04262190036757995
1.9905358527674868,2.5059361681363628,2.2334179607548164,1.8265979115152866,1.8174885044558549,0.000651537948628114,0.0006481585243876504,0.3748490665762539,0.9956605006762504,1.0,0.0011828866576489513,5.520757529947251e-07,0.03941755847743846
2.5059361681363628,3.1547867224009667,2.8117066259517465,1.464715105452641,1.4605968977462809,0.0005229080728332376,0.0005213881217737429,0.3748517100294448,0.9967804345067625,1.0,-0.000597538504578824,-1.6358572793455788e-07,0.035520646548220396
3.1547867224009667,3.971641173621409,3.53972892192069,1.1866182367136813,1.1912555977908208,0.000423732340054877,0.00042544535966434945,0.37485382980363163,0.997349217970949,1.0,-0.007782827374364408,-2.8362416816176166e-06,0.034252385017810985
3.971641173621409,5.0,4.456254690668728,0.979945838800148,0.9831486776297218,0.00034928144322958054,0.00035041730437978717,0.37485629040446883,0.997482482267325,1.0,-0.005669869855814159,-2.015183377231359e-06,0.031751398823128954
5.0,6.294627058970838,5.610092271509818,0.8164866100931122,0.8198606522636335,0.00029082496417701505,0.0002920218210951014,0.37486033837031846,0.9969919974898606,1.0,-0.005830035943176665,-2.071659140342064e-06,0.027435775717574114
6.294627058970838,7.924465962305572,7.062687723113775,0.694656056611279,0.6995806912777933,0.000246875954605319,0.0002486699435232015,0.37486635762627935,0.9965742402969806,1.0,-0.007304359392711519,-2.6397266148137853e-06,0.028532067353957084
7.924465962305572,9.976311574844404,8.89139705019462,0.5900949780741039,0.5945413088003288,0.00021032311430945036,0.00021196727878268362,0.3748750050469399,0.9962027478167244,1.0,-0.006687070170056748,-2.4428143782381577e-06,0.028445248449183617
9.976311574844404,12.559432157547912,11.193605692841706,0.5355995713665574,0.5462944669600197,0.0001914129575469783,0.0001954340004372709,0.3748882157692373,0.9963831072912227,1.0,-0.012632101777962297,-4.713363020809784e-06,0.03014475199221956
12.559432157547912,15.811388300841898,14.091914656322276,0.4655383545838147,0.48364799017734866,0.00016565098561354828,0.00017241611372096876,0.3749057765206683,0.9966070665297527,1.0,-0.019689176258485222,-7.327170880888138e-06,0.030607188889998242
15.811388300841898,19.905358527674867,17.740669461678774,0.42099889126677364,0.45063391105441936,0.00014976248637878624,0.0001608662892342357,0.3749253727297084,0.997192625842629,1.0,-0.030816921195269898,-1.1524242189452871e-05,0.03276800967746035
19.905358527674867,25.059361681363626,22.334179607548162,0.3455022196247404,0.389415075219844,0.00012236445194360406,0.00013875615224609176,0.37494484275976414,0.9978275981337603,1.0,-0.04466342526180627,-1.665752506625139e-05,0.03462191422226412
25.059361681363626,31.547867224009686,28.117066259517472,0.2671506427852118,0.32046281891854855,9.431319799827248e-05,0.00011414303889095137,0.3749644070639011,0.9982027178903689,1.0,-0.05379232120419111,-1.9999348316143275e-05,0.0341776200217922
31.547867224009686,39.71641173621411,35.397289219206925,0.22461102321517964,0.2683479797068259,7.887040900812971e-05,9.530951351277055e-05,0.37499043306899266,0.9969058140411573,1.0,-0.04443194476587994,-1.6683144216761962e-05,0.033198559978823636
