rp,bgs-1,bgs-1 error,bgs-2,bgs-2 error,bgs-3,bgs-3 error,lrg-1,lrg-1 error,lrg-2,lrg-2 error
0.10373545393183937,0.6840767523956481,0.04406373372068445,0.37966827221731947,0.04600849828794061,0.2532153762480524,0.06427192016981852,0.1347964172739459,0.10572132496749033,0.08224798650128425,0.15079045425870527
0.16440961475343566,0.8385328221760949,0.02114244238103519,0.6880761511147399,0.017875810072578754,0.48690599855212724,0.023963148779210932,0.29562487255016645,0.02966471042336269,0.17643259023281593,0.04739473423982552
0.26057167919787444,0.933867372191127,0.018046986837537304,0.8674006799939264,0.011430492999868194,0.770682714349181,0.013795263548313433,0.5743880297341267,0.011906197697114776,0.3984678945704617,0.011064562992230822
0.41297828050887236,0.9705943222267239,0.0132763921750086,0.9504427721702574,0.01092280207006007,0.9050992769185315,0.008573571430802538,0.8088627812621401,0.005749626921032484,0.7024249633989816,0.006402669687921468
0.654526465412808,0.9848020116264943,0.010429860302514976,0.9841826130969971,0.009590223019005497,0.9714484870221807,0.008194155401151057,0.9297590446176346,0.005466208416325192,0.8842445562170698,0.004867110998091564
1.0373545393183938,0.9761294095104982,0.010889849798039898,0.9954426697222537,0.010287477235244754,0.9776731237525377,0.007657704770730668,0.9747759901187757,0.004933176402829302,0.9566821393039051,0.004733963981880639
1.6440961475343574,1.0149037064506305,0.013489158628354805,1.0013841437741537,0.011367027422813557,1.0027506609565198,0.00878996199348055,0.9922868928611683,0.0059749523813815465,0.9913907773989876,0.0058312732854441714
2.605716791978745,0.9999183344891046,0.019902466258680248,1.0029628115772224,0.013061923435445417,1.0055288364894268,0.012122584326459818,0.9988542286320489,0.006543603159309429,0.9951670119023049,0.008228409398726743
4.129782805088724,0.9464696427574116,0.030661627569489897,0.9787593216129983,0.015130589480727027,1.0312310805034675,0.01243069212706338,0.9958422929664422,0.009109842117139205,0.9967743476580894,0.009593997345036891
6.545264654128078,0.9509609306525115,0.05166252047492343,1.007490251563286,0.021911690278470387,1.03491418339535,0.016274031407022067,1.0057127133142103,0.01188984355384404,1.0022616990418554,0.010221191766366948
10.373545393183939,0.9371386669772318,0.05808672635164563,1.0032752573129273,0.030535341180787472,1.0403161924340683,0.026428235208022753,1.0235694294474724,0.013438508176130636,1.0305910299449625,0.011886897970587366
16.440961475343578,0.8790299545546364,0.09483286301783883,1.0224894071202735,0.03903333422083337,1.0044357484407245,0.039123363734761885,1.0252682274666534,0.01583742816140761,1.0157200928802572,0.016091221883249136
26.057167919787457,0.9954684857296626,0.11501378225121918,1.0216982741011238,0.06437507571634431,0.9521089343174786,0.05756595420231612,1.0308164551224965,0.025768907154995205,0.9898700646349815,0.028137281289486293
