rp,ds_0,ds_diff_0,ds_diff_err_0,ds_1,ds_diff_1,ds_diff_err_1,ds_2,ds_diff_2,ds_diff_err_2,ds_3,ds_diff_3,ds_diff_err_3
0.2244036908603927,4.825371935323659,-0.39345894276059135,0.07346067676630368,7.403943287632449,-2.3099131213191337,0.061039492526441946,16.17410030933997,-9.640277187243703,0.10903592869580771,13.932905880344679,-10.338743843025762,0.09587981421487879
0.2825075089245509,4.378629645158529,-0.1995206877344732,0.04540456859786942,6.537297746733946,-1.3366000402129392,0.053093507504758594,14.242063091650843,-6.202266740779073,0.09358811527081315,12.243412862698932,-7.427267413967632,0.07600445593823182
0.3556558820077846,4.090527869205872,-0.1983801413040917,0.04444871808714419,5.616230258456224,-0.6610761844817037,0.0375988609776669,12.397187383348356,-3.5665040052203505,0.06857841798290798,10.57718024251012,-4.672713288542201,0.06284990423550937
0.44774422771366795,3.6347228683464943,-0.06695211341586849,0.037186584792710545,4.943035257343666,-0.42002578948469843,0.030645622162620855,10.296911894433103,-1.7763105069090106,0.057837101890543,8.827656881199303,-2.525085695875624,0.04356032054046349
0.5636765862528909,3.280761076172263,-0.02743337692113978,0.03206078443822141,4.152547581032662,-0.17248642365191716,0.02632938140253062,8.434664979888085,-0.908406374051264,0.0429521585439222,7.113523936511719,-1.2252982400047008,0.037341555420647474
0.709626778467151,3.0197254669404177,-0.03911895204086933,0.024274382285455438,3.472045835405731,-0.06746357518608583,0.01618335962818637,6.717467168341202,-0.31967565532680176,0.03554428257478823,5.621054622653829,-0.6433481565505634,0.029277838479492436
0.8933671843019264,2.707423914905064,-0.010765628372221373,0.021958222216715954,2.885259321451755,-0.02041196999416676,0.016581467214785987,5.232909565312167,-0.12910479535943864,0.032711440541855416,4.307353996906825,-0.20627874435775476,0.022202619251969983
1.1246826503806984,2.3978967966090696,-0.012474211608397378,0.01940036104495089,2.373502212135726,-0.008441386531942707,0.014429513842230334,3.9908538287298887,-0.03982093934552721,0.021276298804109493,3.195500239139007,-0.09696282633095878,0.02198660867597205
1.415891568768276,2.07364048671422,0.0037189371818695865,0.019078536015511786,1.9147709729697564,-0.0022023360661945625,0.011306186361895431,2.998114319027344,-0.029437642465389824,0.017690816615824,2.3616036156893387,-0.026185475706016592,0.01591618617244157
1.7825018762674911,1.755613433921953,0.016056909272094945,0.01924271956728269,1.5271523671995886,0.0028279985385753757,0.009293769412754204,2.224362517344796,0.0015355217262268308,0.016530899871001176,1.7580867189219789,-0.02562397915397838,0.017467064149563883
2.244036908603927,1.4790910355862812,-0.0004847344786877524,0.018240782568389145,1.2329004170252675,0.009920340424529796,0.009202495378583897,1.7251723668741936,-0.0004249414291023285,0.014832795975340055,1.3414855931726253,-0.004614293565329359,0.014926053508958993
2.8250750892455097,1.2105659151991597,0.009009883950042293,0.015780226688315264,1.0190083795889797,0.01056695302489552,0.009842435563937107,1.3839276305269093,0.004709988259152558,0.014258818067937815,1.105017095400895,-0.009835707124952216,0.012310342841113361
3.556558820077847,1.0154782110787388,-0.012395804621048034,0.016847897139740543,0.8608214682074773,0.01805056351734492,0.008725375784372179,1.1368444675925675,0.005253460269548711,0.011565550903172787,0.9318740407290719,-0.0006171858678528954,0.011666025488107051
4.47744227713668,0.877571595136578,-0.010353778017708686,0.017374290902536085,0.7269212673670421,0.01591414905645711,0.008244034086986401,0.9440391794314109,0.0048618055219212105,0.010573277613813003,0.7987575819046676,0.010404627328396783,0.011602705298437883
5.636765862528909,0.7265895087172447,0.003478542838461614,0.020711348754135932,0.6365542480021376,0.011043952200784168,0.0079137600595555,0.8038364870397846,-0.0004366577407106568,0.010538351705045851,0.6839382299148591,0.010677923348779025,0.010936391531757812
7.09626778467151,0.6188713634551558,-0.003535201503561614,0.023555794319343345,0.5605614562208335,0.01038078735588869,0.007794634720878345,0.6966954578462057,0.004940380697114533,0.009413068790574658,0.6074622373312255,0.0016235639025906285,0.01004666075863348
8.933671843019265,0.539989733903167,-0.020824959449189905,0.023217158754890454,0.5004673666438907,-0.0019272676173805025,0.008180219592603007,0.6150627738299279,0.008055702860939413,0.010374155156503051,0.5323323922633044,0.01509938502547675,0.009472475172922235
11.246826503806986,0.4777419407695489,-0.02309166884002826,0.022722019549309812,0.4385037127817808,-0.001168958371193202,0.008516465368696347,0.5390989316619597,0.009399462730678853,0.007755006208059323,0.4741724979803675,0.014776725942184338,0.009240980807247987
14.15891568768276,0.4492080733041498,-0.05996277674123182,0.02163405374962876,0.3865050584705559,-0.004500090877164539,0.009493733768875311,0.4620253311088618,0.011796786733840721,0.007259655581396926,0.4125610915953905,0.021581024351038723,0.010237549269501814
17.82501876267491,0.39582049043214146,-0.05955209950464686,0.019765436999927777,0.3377638336564679,-0.00971616470044012,0.00958899010568517,0.3999065747895343,0.002468171565137698,0.006981303020477368,0.3647845860918892,0.026774461237781967,0.009514737074141398
