ds_ptcl,ds_shear,ds_diff_err
2.9967010705684474,3.495889570940705,0.06783202698005196
2.46092128243866,2.6344342378380916,0.0395014387219398
1.912903160940736,1.9774077935194674,0.028331302316394354
1.412704485114245,1.5289442509378293,0.023252099083344163
1.2465587510438194,1.2271003315182611,0.017833295153430025
1.0042756097695638,1.0277973350281202,0.016503923055346433
0.8571279422088786,0.8705784389077498,0.013532168442482529
0.7467356276374953,0.7535760738583721,0.011035471597158135
0.6412664538895578,0.6519001236214524,0.009670951786090357
0.5690887610432749,0.5929910531730984,0.009210107559769174
0.5004925035877484,0.5239669290770035,0.008548094682939674
0.43915327231113266,0.4448389143591977,0.007037254930144507
0.3896836981548508,0.3921822011527415,0.007847415810054834
