ds_ptcl,ds_shear,ds_diff_err
14.879399915645092,4.027248957519331,0.23364576506365817
13.267542194274174,6.987854913669885,0.1603090809017341
10.40517243767361,8.332675955468774,0.11759591462848336
7.720380042800391,7.193354539678715,0.06268119574265056
5.340856769632259,5.255167191179117,0.03812975471994832
3.491851709859371,3.4905209138657876,0.02656246649617686
2.1210452671744253,2.1517802678986966,0.018559387813200403
1.3308780801832625,1.34912943406224,0.01763800522188233
0.9109118440591579,0.9356548210518344,0.012556056354408285
0.6740379881053472,0.6990559140687488,0.012954748533597672
0.5073242080924557,0.5350168853666873,0.014031900025063241
0.3755048410931274,0.3917702711045544,0.01469226990154065
0.2777183212844738,0.2742927153967244,0.016436879424198882
0.19253493091363358,0.2038040532983581,0.015620461436839206
0.08927993216203314,0.09617056043068034,0.013855729470969308
