rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m
0.5,0.7924465962305568,157126,0.6294627058970836,7.084551224470459,7.070410403663133,0.541732269895242,0.6999999999999983,1.002
0.7924465962305568,1.25594321575479,386606,0.9976311574844399,2.136442339793612,2.1321779838259602,0.5414731854046314,0.6999999999999994,1.002
1.25594321575479,1.9905358527674866,957024,1.5811388300841898,3.7283973128531613,3.7209554020490634,0.5413136965846911,0.6999999999999966,1.002
1.9905358527674866,3.1547867224009667,2380495,2.505936168136362,0.8391329448127561,0.8374580287552457,0.5411424253144543,0.6999999999999992,1.002
3.1547867224009667,4.999999999999999,5934818,3.9716411736214075,1.464570906271472,1.4616476110493732,0.5411159755701561,0.6999999999999998,1.002
4.999999999999999,7.92446596230557,14864531,6.294627058970836,1.043347227020076,1.0412646976248265,0.5410812891786821,0.6999999999999982,1.002
7.92446596230557,12.559432157547903,37134442,9.9763115748444,0.9151824673327011,0.913355755821059,0.5410731275652921,0.6999999999999998,1.002
12.559432157547903,19.905358527674863,92504286,15.811388300841898,0.661153731674401,0.6598340635473063,0.5410275599746139,0.6999999999999983,1.002
19.905358527674863,31.54786722400966,228583685,25.059361681363615,0.37885395084376794,0.37809775533310175,0.5409431897682523,0.6999999999999936,1.002
31.54786722400966,49.99999999999999,555127531,39.71641173621407,0.45406962420014174,0.4531632976049319,0.5409915021804133,0.7000000000000006,1.002
