rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m,R_t
0.5,0.7924465962305568,337723,0.6294627058970836,7.819137957323663,10.927529976873407,0.5383920552294182,0.5214139127299738,0.9802000000000003,0.7299988416284938
0.7924465962305568,1.25594321575479,817627,0.9976311574844399,1.7168951045780294,2.401649882261004,0.5383743749318433,0.5214139127299794,0.9802000000000001,0.7293220916857592
1.25594321575479,1.9905358527674866,2013583,1.5811388300841898,0.6103186129492065,0.8539520258088894,0.538474304934993,0.521413912729972,0.9801999999999998,0.7291358357457018
1.9905358527674866,3.1547867224009667,4992730,2.505936168136362,-0.29237225730454625,-0.40951307486331123,0.5384933049534885,0.5214139127299755,0.9802,0.7283727511521625
3.1547867224009667,4.999999999999999,12396130,3.9716411736214075,0.6143025469715166,0.860120212956868,0.538482520382972,0.5214139127299781,0.9802000000000001,0.7286323747670272
4.999999999999999,7.92446596230557,30848459,6.294627058970836,1.1428084237830636,1.5998601982033358,0.5384380865502929,0.5214139127299663,0.9802000000000002,0.7287468671431856
7.92446596230557,12.559432157547903,76737393,9.9763115748444,0.12211405231386342,0.17092646487246302,0.5384453441001242,0.5214139127299688,0.9802000000000002,0.7288558344685211
12.559432157547903,19.905358527674863,191228459,15.811388300841898,0.3789363026739173,0.5305027005965368,0.5384922192741797,0.5214139127299748,0.9802000000000001,0.7287254147614836
19.905358527674863,31.54786722400966,476033029,25.059361681363615,0.5606879671119306,0.7849904419819169,0.5385420934711209,0.5214139127299765,0.9801999999999998,0.7286889248266987
31.54786722400966,49.99999999999999,1177555209,39.71641173621407,0.2965806977291571,0.4153122568327218,0.5386646539453854,0.5214139127299744,0.9802000000000002,0.7285400580948667
