rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m,2R,1+m_sel,f_bias
0.5,0.7924465962305568,214522,0.6294627058970836,20.817321833913216,13.493322825363162,0.4542000485413608,0.7789505432199494,0.9046523790866311,1.6852765021258558,1.0099789994795005,0.978440917045468
0.7924465962305568,1.25594321575479,533875,0.9976311574844399,12.243940543853777,7.9434884877190175,0.45399020182298466,0.7791750742282432,0.9044736398634503,1.6852605667782377,1.0102172644432101,0.9788998124940136
1.25594321575479,1.9905358527674866,1350745,1.5811388300841898,8.161423147866268,5.292747416109266,0.45396396880276846,0.7792974220113633,0.9046658655385097,1.68539083561078,1.0103313223447565,0.9786790421587749
1.9905358527674866,3.1547867224009667,3386822,2.505936168136362,3.444184958295533,2.235447591156921,0.45406489811627354,0.7797601064902602,0.9046685605470337,1.6853366254823032,1.0101522374633145,0.9796419032125713
3.1547867224009667,4.999999999999999,8482063,3.9716411736214075,1.6498619143141022,1.0681558473114012,0.45397666865425435,0.779586247771464,0.9046613138710304,1.6853512611130852,1.0101328435208736,0.9772034288882535
4.999999999999999,7.92446596230557,21319118,6.294627058970836,1.5055836403165475,0.9739111561813881,0.4540249178844116,0.7792918178632324,0.9047599565314607,1.6854087751847868,1.0101535172629486,0.9764852669892304
7.92446596230557,12.559432157547903,53745093,9.9763115748444,1.1173624525541335,0.7238967815311997,0.454007444453475,0.7794025363500929,0.9047986553808215,1.6854282685136495,1.0102035570843277,0.977993344324937
12.559432157547903,19.905358527674863,134399803,15.811388300841898,0.5819686407687558,0.37655640574708465,0.454002706200357,0.7795218491396315,0.9048284685499728,1.6854049435755438,1.0101677544533576,0.9768041025830746
19.905358527674863,31.54786722400966,336328979,25.059361681363615,0.48200787156981817,0.31160379246902276,0.454007230471435,0.7796928128657645,0.9048709007561218,1.6853436818961218,1.0101293123670352,0.9759930604036992
31.54786722400966,49.99999999999999,837397163,39.71641173621407,0.4685782060504232,0.3030579556727998,0.4540639478928892,0.7797176565777932,0.9048863121092483,1.6852934135271205,1.01011397553244,0.9764337144842056
